Protein	Degree
C17orf67	0
C17orf70	2
C17orf82	0
C18orf25	0
C18orf54	0
C19orf10	0
C19orf25	0
C19orf44	0
C19orf47	0
C19orf57	1
C19orf66	0
C19orf73	0
C1D	4
C1QTNF1	1
C1QTNF2	0
C1QTNF6	0
C1QTNF9B-AS1	0
C1orf105	0
C1orf109	0
C1orf111	0
C1orf116	0
C1orf174	0
C1orf189	0
C1orf21	0
C1orf216	0
C1orf35	0
C1orf50	0
C1orf94	2
C20orf195	0
C21orf2	0
C21orf58	0
C22orf23	0
C22orf39	0
C22orf46	0
C2orf42	0
C2orf50	0
C2orf57	0
C2orf88	0
C3orf52	0
C3orf62	0
C4orf19	0
C4orf26	0
C4orf33	0
C4orf46	0
C5	1
C5orf24	0
C5orf30	0
C5orf55	0
C5orf60	0
C6orf165	0
C6orf226	0
C6orf54	0
C7orf25	0
C7orf31	0
C7orf49	0
C7orf50	1
C8orf33	0
C8orf34	0
C8orf48	0
C9orf106	0
C9orf116	0
C9orf16	0
C9orf171	0
C9orf24	0
C9orf72	0
C9orf9	0
CA1	0
CA6	0
CA8	1
CAB39L	0
CABP5	0
CACFD1	0
CACNA1S	0
CACNG1	0
CADM1	2
CADPS	0
CAGE1	0
CALCOCO1	1
CALCOCO2	6
CALM1	37
CALM2	0
CALM3	0
CALML3	1
CALU	0
CAMK2B	2
CAMK2D	2
CAMLG	3
CAMTA2	0
CAP2	1
CAPG	0
CAPN3	1
CAPN7	0
CAPNS1	1
CAPRIN2	0
CARD10	2
CARD14	1
CARD9	1
CARHSP1	0
CARKD	0
CASK	11
CASP1	1
CASP10	5
CASP14	0
CASP2	2
CASP6	1
CASP7	3
CASP9	7
CATIP	0
CATSPER1	1
CATSPERD	0
CBFA2T2	0
CBLB	6
CBR3	0
CBS	1
CBX2	1
CBX5	21
CBX8	5
CBY1	2
CC2D1B	0
CCAR1	1
CCAR2	2
CCBE1	0
CCBL1	0
CCDC101	0
CCDC102B	0
CCDC103	0
CCDC106	0
CCDC108	0
CCDC110	0
CCDC112	0
CCDC114	0
CCDC116	0
CCDC120	0
CCDC121	0
CCDC130	0
CCDC136	0
CCDC14	0
CCDC146	0
CCDC148	0
CCDC150	0
CCDC151	0
CCDC153	0
CCDC155	0
CCDC158	0
CCDC17	0
CCDC170	0
CCDC172	0
CCDC184	0
CCDC185	0
CCDC22	0
CCDC24	0
CCDC25	0
CCDC26	0
CCDC28A	0
CCDC28B	0
CCDC33	0
CCDC36	0
CCDC42	0
CCDC43	0
CCDC53	0
CCDC57	0
CCDC60	0
CCDC64B	0
CCDC67	0
