MIF,MIF
GPX8,ASPH
ABCG4,TMEM50A
SYT9,TMEM50A
SLC30A8,TMEM50A
TMEM31,TMEM50A
REEP4,TMEM50A
LEPROTL1,TMEM50A
COMT,TMEM50A
AQP6,TMEM50A
TMEM14B,TMEM50A
ABCG4,GPR152
B3GNT7,GPR152
PROM2,GPR152
IFNA8,GPR152
RTN3,GPR152
TMEM236,GPR152
TSPAN7,GPR152
NDUFB11,GPR152
KCNA1,GPR152
IGF2,GPR152
INS-IGF2,GPR152
CDS2,GPR152
C8A,GPR152
CGRRF1,GPR152
CD72,GPR152
CRISP3,GPR152
NIPAL4,GPR152
PGAP2,GPR152
LAMB1,GPR152
SLC29A2,GPR152
SLC13A4,GPR152
CLEC1A,GPR152
TMEM208,GPR152
KCNN4,GPR152
ARV1,GPR152
SERF1A,GPR152
FAXDC2,GPR152
FUNDC2,GPR152
PIGF,GPR152
VAMP1,GPR152
STATH,GPR152
TMEM189-UBE2V1,GPR152
SLC38A1,GPR152
STX1B,GPR152
ORMDL3,GPR152
TAP1,GPR152
MAL2,GPR152
TMEM50B,GPR152
SLC30A3,GPR152
CLN5,GPR152
AQP3,GPR152
CLDND2,GPR152
NAT8,GPR152
VAMP4,GPR152
UNC50,GPR152
GOLT1B,GPR152
CD81,GPR152
MOSPD3,GPR152
GPR37L1,GPR152
LHFPL2,GPR152
SFTPC,GPR152
AQP10,GPR152
INSIG2,GPR152
TMEM54,GPR152
IL1RL1,GPR152
CSGALNACT2,GPR152
CYB5R3,GPR152
STX5,GPR152
CYB561A3,GPR152
YIPF1,GPR152
PTPRN,GPR152
GOLT1A,GPR152
TM4SF19,GPR152
SLC66A2,GPR152
FA2H,GPR152
GPR151,GPR152
TMEM42,GPR152
MFSD6,GPR152
ORMDL1,GPR152
CNIH1,GPR152
TFRC,GPR152
TEX264,GPR152
PEX16,GPR152
SLC7A1,GPR152
CYB5B,GPR152
SLC66A1,GPR152
TMEM100,GPR152
TMEM237,GPR152
JAGN1,GPR152
MAL,GPR152
VAMP5,GPR152
TMEM14C,GPR152
COL8A2,GPR152
TSPAN33,GPR152
TMEM218,GPR152
THSD7B,GPR152
TSPO2,GPR152
MMD,GPR152
TMEM254,GPR152
SLC35B1,GPR152
TMEM97,GPR152
FDFT1,GPR152
MGST3,GPR152
STX8,GPR152
VKORC1,GPR152
AIG1,GPR152
CD53,GPR152
APOL3,GPR152
UBIAD1,GPR152
YIPF4,GPR152
FAM20B,GPR152
MGLL,GPR152
TMEM243,GPR152
IGFBP5,GPR152
HMOX2,GPR152
TMEM140,GPR152
LEPROTL1,GPR152
HHATL,GPR152
STX4,GPR152
TNFRSF10C,GPR152
FXYD3,GPR152
GPR152,GPR152
TSNARE1,GPR152
STX3,GPR152
SLC39A2,GPR152
SERP2,GPR152
EBP,GPR152
ERG28,GPR152
TMEM128,GPR152
GOSR2,GPR152
BET1,GPR152
CDIPT,GPR152
SLC38A7,GPR152
HMOX1,GPR152
SCD,GPR152
SLC35C2,GPR152
CYB561,GPR152
RBFA,GPR152
GJB2,GPR152
SLC41A1,GPR152
ZDHHC15,GPR152
SLC10A1,GPR152
ACSF2,GPR152
COMT,GPR152
AQP6,GPR152
BNIP2,GPR152
EMD,GPR152
BMP10,GPR152
TMEM60,GPR152
NINJ2,GPR152
SMCO4,GPR152
TIMMDC1,GPR152
ARL6IP1,GPR152
REEP6,GPR152
RABAC1,GPR152
MFF,GPR152
TMEM14B,GPR152
PIN1,GPR152
CERS6,SEC22B
GJB6,SEC22B
DPM3,SEC22B
CLRN1,SEC22B
MRPS18B,SEC22B
IFNGR2,SEC22B
GJB5,SEC22B
NDUFAF2,SEC22B
TMEM229B,SEC22B
RELL2,SEC22B
RHBDD1,SEC22B
HIBADH,SEC22B
TMEM167B,SEC22B
CLDN7,SEC22B
FAM174A,SEC22B
TM4SF19,SEC22B
MGST2,SEC22B
STX2,SEC22B
TMEM86B,SEC22B
SERINC2,SEC22B
TLCD4,SEC22B
HSD17B11,SEC22B
JAGN1,SEC22B
MGST3,SEC22B
ELOVL4,SEC22B
MMGT1,SEC22B
FCER1G,SEC22B
AIG1,SEC22B
REEP4,SEC22B
FNDC9,SEC22B
KIR2DL3,SEC22B
TMEM139,SEC22B
CPLX4,SEC22B
GORAB,SEC22B
STX1A,SEC22B
STX4,SEC22B
LHFPL5,SEC22B
GPR152,SEC22B
EBP,SEC22B
ERGIC3,SEC22B
SLC35C2,SEC22B
GJA8,SEC22B
MFSD5,SEC22B
ABHD16A,SEC22B
LHFPL1,SEC22B
HSD17B13,SEC22B
AQP6,SEC22B
MFF,SEC22B
GPX8,SEC22B
CD79A,SEC22B
CREB3L1,SEC22B
FAM209A,SEC22B
PRR30,KRTAP6-2
LGALS9C,KRTAP6-2
CELF5,KRTAP6-2
LRFN4,KRTAP6-2
NDUFA9,KRTAP6-2
RERE,KRTAP6-2
PAX3,KRTAP6-2
CCDC17,KRTAP6-2
HEY1,KRTAP6-2
TSPYL6,KRTAP6-2
HEYL,KRTAP6-2
CTRC,KRTAP6-2
DHRS1,KRTAP6-2
PKD2,KRTAP6-2
ZNF683,KRTAP6-2
CASC3,KRTAP6-2
GATA3,KRTAP6-2
NSD1,KRTAP6-2
TLX2,KRTAP6-2
PDP1,KRTAP6-2
ZNF843,KRTAP6-2
APOBEC1,KRTAP6-2
FOXD2,KRTAP6-2
HHEX,KRTAP6-2
TPRX1,KRTAP6-2
ESR2,KRTAP6-2
FAAP20,KRTAP6-2
CERK,KRTAP6-2
ANXA11,KRTAP6-2
LRRC41,KRTAP6-2
NPBWR2,KRTAP6-2
SMN1,KRTAP6-2
ZNF503,KRTAP6-2
ANAPC11,KRTAP6-2
SMAP2,KRTAP6-2
CCNK,KRTAP6-2
HOXB9,KRTAP6-2
CHIC2,KRTAP6-2
CFP,KRTAP6-2
PHLDA1,KRTAP6-2
SNRPB,KRTAP6-2
GLYCTK,KRTAP6-2
IGFN1,KRTAP6-2
PLSCR4,KRTAP6-2
FAM83A,KRTAP6-2
RBFOX2,KRTAP6-2
TENT5D,KRTAP6-2
TBX6,KRTAP6-2
C1orf94,KRTAP6-2
ROR2,KRTAP6-2
HYAL2,KRTAP6-2
PATL1,KRTAP6-2
HAPLN2,KRTAP6-2
SMARCC1,KRTAP6-2
SPATA8,KRTAP6-2
LETM1,KRTAP6-2
KRT83,KRTAP6-2
LCE5A,KRTAP6-2
ITGB4,KRTAP6-2
GSTP1,KRTAP6-2
FOXD4L1,KRTAP6-2
FRS3,KRTAP6-2
OLIG3,KRTAP6-2
TCF7L2,KRTAP6-2
HEY2,KRTAP6-2
ZNF414,KRTAP6-2
FOXP3,KRTAP6-2
ZIC1,KRTAP6-2
CAMK2B,KRTAP6-2
NID2,KRTAP6-2
ATN1,KRTAP6-2
MEIS2,KRTAP6-2
RUNX1T1,KRTAP6-2
GNE,KRTAP6-2
LCE2B,KRTAP6-2
GRN,KRTAP6-2
ZNF581,KRTAP6-2
GLIS2,KRTAP6-2
RASD1,KRTAP6-2
KLHL38,KRTAP6-2
BEX2,KRTAP6-2
SHARPIN,KRTAP6-2
VENTX,KRTAP6-2
C20orf85,KRTAP6-2
TSGA10IP,KRTAP6-2
ATPAF2,KRTAP6-2
TENT5B,KRTAP6-2
CREB5,KRTAP6-2
GPS2,KRTAP6-2
SNRPC,KRTAP6-2
HSF4,KRTAP6-2
PATZ1,KRTAP6-2
TNIP1,KRTAP6-2
NAF1,KRTAP6-2
GRINA,KRTAP6-2
CCDC120,KRTAP6-2
KRTAP6-1,KRTAP6-2
KRTAP11-1,KRTAP6-2
TEX37,KRTAP6-2
ADAM12,KRTAP6-2
TFAP2D,KRTAP6-2
TOLLIP,KRTAP6-2
ZBTB32,KRTAP6-2
NR1D2,KRTAP6-2
ADAMTSL4,KRTAP6-2
INO80B,KRTAP6-2
HOXC9,KRTAP6-2
RUSC1,KRTAP6-2
SMUG1,KRTAP6-2
YPEL3,KRTAP6-2
NFKBID,KRTAP6-2
ENKD1,KRTAP6-2
COL8A1,KRTAP6-2
TEPSIN,KRTAP6-2
FAM214B,KRTAP6-2
LYVE1,KRTAP6-2
TLE5,KRTAP6-2
KRTAP6-2,KRTAP6-2
MKRN3,KRTAP6-2
CATSPER1,KRTAP6-2
VPS37C,KRTAP6-2
MGAT5B,KRTAP6-2
CERCAM,KRTAP6-2
TEKT4,KRTAP6-2
PPP1R32,KRTAP6-2
PRR35,KRTAP6-2
TEKT5,KRTAP6-2
SPAG8,KRTAP6-2
RNF38,KRTAP6-2
BHLHE40,KRTAP6-2
RHOXF2,KRTAP6-2
TEKT3,KRTAP6-2
GCM2,KRTAP6-2
OTX1,KRTAP6-2
VAC14,KRTAP6-2
TRIP13,KRTAP6-2
CAMK2A,KRTAP6-2
PITX1,KRTAP6-2
ANKS1A,KRTAP6-2
DMRT3,KRTAP6-2
FAM168A,KRTAP6-2
LASP1,KRTAP6-2
DAZAP2,KRTAP6-2
RBPMS2,KRTAP6-2
TLX3,KRTAP6-2
POGZ,KRTAP6-2
ZC3H10,KRTAP6-2
HOXA1,KRTAP6-2
PRRT1,PRRT1
MAL,PRRT1
SHLD1,QARS1
LGALS9C,QARS1
LGALS9B,QARS1
B9D2,QARS1
SP7,QARS1
SLA,QARS1
DNM2,QARS1
RNF11,QARS1
XIAP,QARS1
IK,QARS1
SPATC1L,QARS1
FAM83A,QARS1
GSTZ1,QARS1
ESS2,QARS1
TGM7,QARS1
SF3B4,QARS1
MESD,QARS1
NAB2,QARS1
HMG20A,QARS1
COG6,QARS1
KRT36,QARS1
BIRC7,QARS1
GPBP1,QARS1
USHBP1,QARS1
REL,QARS1
TRIM35,QARS1
DISC1,QARS1
NFKBID,QARS1
CALCOCO2,QARS1
TRAF2,QARS1
SORBS3,QARS1
LZTS2,QARS1
PICK1,QARS1
PTPN21,QARS1
ZMYND12,QARS1
PRDM6,QARS1
ZRANB1,QARS1
MID2,QARS1
FAM161A,QARS1
CCDC33,QARS1
VPS37B,QARS1
TRAF4,QARS1
LZTS1,QARS1
PPP1R32,QARS1
TRIP13,QARS1
NEBL,QARS1
LNX1,QARS1
HOXA1,QARS1
DRC3,ZNF250
ANKRD50,ZNF250
NEXN,ZNF250
ZNF768,ZNF250
ZNF668,ZNF250
MYF5,ZNF250
RUBCN,ZNF250
ZNF330,ZNF250
ZCCHC7,ZNF250
ZNF202,ZNF250
ZNF547,ZNF250
TOP3B,ZNF250
ZCCHC13,ZNF250
GMNN,ZNF250
CBY2,ZNF250
SSX2IP,ZNF250
CDR2,ZNF250
CCDC130,ZNF250
ZFP1,ZNF250
ZC4H2,ZNF250
ZBTB6,ZNF250
ZNF57,ZNF250
NXF1,ZNF250
TNK1,ZNF250
TRIM54,ZNF250
ZNF639,ZNF250
PRDM14,ZNF250
RUNDC3A,ZNF250
GRAP2,ZNF250
ZNF250,ZNF250
CARD9,ZNF250
ZNF648,ZNF250
ZNF837,ZNF250
LDOC1,ZNF250
CEP63,ZNF250
ZNF792,ZNF250
CDR2L,ZNF250
SPECC1L,ZNF250
NDEL1,ZNF250
CCDC136,ZNF250
STX1A,ZNF250
GRIPAP1,ZNF250
HOOK2,ZNF250
CCDC6,ZNF250
ZBTB43,ZNF250
ZBTB8A,ZNF250
TRIM23,ZNF250
CCDC125,ZNF250
ZNF572,ZNF250
HSF2BP,ZNF250
TRAF2,ZNF250
FHL5,ZNF250
PICK1,ZNF250
ZRANB1,ZNF250
HMBOX1,ZNF250
TRIM41,ZNF250
LMO2,ZNF250
FAM161A,ZNF250
GOLGA2,ZNF250
KIFC3,ZNF250
CARD10,ZNF250
LZTS1,ZNF250
KRTAP10-8,ZNF250
GAS8,ZNF250
PIBF1,ZNF250
KRT31,ZNF250
GUCD1,ZNF250
MEOX2,ZNF250
OVOL1,LMNB2
ZFHX3,LMNB2
AMOT,LMNB2
ZC2HC1C,LMNB2
LMNB2,LMNB2
LMNB1,LMNB2
USP2,LMNB2
AMOTL2,LMNB2
PPP1R13B,LMNB2
POU6F2,LMNB2
FH,LMNB2
TSGA10IP,LMNB2
CCDC88B,LMNB2
CCDC120,LMNB2
MID2,LMNB2
THAP1,LMNB2
GOLGA2,LMNB2
TP53BP2,LMNB2
WASHC3,LMNB2
TFIP11,LMNB2
LZTS1,LMNB2
MFAP1,LMNB2
CDC37,LMNB2
PIBF1,LMNB2
RHNO1,BANP
ALAS2,BANP
PIK3C2G,BANP
FLOT1,BANP
RIDA,BANP
MAP2K1,BANP
RHOQ,BANP
PHF21A,BANP
HEYL,BANP
STK38,BANP
RHOH,BANP
COL10A1,BANP
TAF6,BANP
PPIC,BANP
MTERF4,BANP
MRRF,BANP
ANAPC11,BANP
TNXB,BANP
CTSZ,BANP
FAM117B,BANP
BOC,BANP
YJU2,BANP
ZNF474,BANP
CCDC74B,BANP
LRIF1,BANP
BICRAL,BANP
TOX4,BANP
SNRPB,BANP
PANX2,BANP
IGFN1,BANP
PARD6B,BANP
HAPLN2,BANP
SP2,BANP
STOX1,BANP
CRX,BANP
LHX8,BANP
C22orf15,BANP
KLF15,BANP
ZMYM6,BANP
ANKRD55,BANP
NEDD9,BANP
LGALS4,BANP
UBE2I,BANP
SNX5,BANP
ATXN7L2,BANP
ESM1,BANP
ANTKMT,BANP
C4orf45,BANP
CHRDL2,BANP
NRIP2,BANP
SNAPIN,BANP
C2orf83,BANP
ATF2,BANP
PRKAB2,BANP
ZNF581,BANP
FARS2,BANP
CBX8,BANP
IGF1,BANP
POU6F2,BANP
HIVEP1,BANP
RAD54L2,BANP
RYBP,BANP
KHDC4,BANP
INO80B,BANP
REL,BANP
UBAP2,BANP
RAB3IP,BANP
LHX4,BANP
TRIM35,BANP
C1QTNF2,BANP
LGALS14,BANP
CDC7,BANP
ENKD1,BANP
PAX6,BANP
TRAF2,BANP
FHL2,BANP
FHL5,BANP
PRDM6,BANP
ZNF410,BANP
KCTD9,BANP
TTC23,BANP
CEP76,BANP
TRAF4,BANP
LMO4,BANP
MDFI,BANP
FAM90A1,BANP
LMO1,BANP
LMO3,BANP
PIH1D2,BANP
LAP3,BANP
BANP,BANP
POGZ,BANP
VEZF1,BANP
NFYA,BANP
ZNF554,TSEN15
PLB1,TSEN15
PHOSPHO2,TSEN15
AIF1L,TSEN15
LRIF1,TSEN15
POLR2G,TSEN15
TASOR2,TSEN15
ZNF620,TSEN15
ZMAT2,TSEN15
POU6F2,TSEN15
USP54,TSEN15
MIPOL1,TSEN15
INCA1,TSEN15
REL,TSEN15
IKZF3,TSEN15
GORASP2,TSEN15
DDIT4L,TSEN15
ENKD1,TSEN15
TEPSIN,TSEN15
HSF2BP,TSEN15
LMO2,TSEN15
CCDC33,TSEN15
PBX4,TSEN15
TLE5,TSEN15
PIH1D3,TSEN15
ARID5A,TSEN15
ZNF543,KRTAP10-6
ZNF672,KRTAP10-6
MT1B,KRTAP10-6
DKK2,KRTAP10-6
ZNF776,KRTAP10-6
MOBP,KRTAP10-6
CLK4,KRTAP10-6
ZNF221,KRTAP10-6
NKD1,KRTAP10-6
SPATA3,KRTAP10-6
NMU,KRTAP10-6
ADAMTSL3,KRTAP10-6
ZNF114,KRTAP10-6
ZNF479,KRTAP10-6
KRTAP4-4,KRTAP10-6
RSPO2,KRTAP10-6
ZC3HAV1,KRTAP10-6
ZNF169,KRTAP10-6
HHEX,KRTAP10-6
SNIP1,KRTAP10-6
NPDC1,KRTAP10-6
DHX57,KRTAP10-6
STRA6,KRTAP10-6
ZNF302,KRTAP10-6
PBXIP1,KRTAP10-6
MFSD3,KRTAP10-6
YTHDC1,KRTAP10-6
ZNF264,KRTAP10-6
HAND1,KRTAP10-6
LCE3B,KRTAP10-6
LCE2C,KRTAP10-6
ZNF696,KRTAP10-6
ZNF319,KRTAP10-6
ZNF440,KRTAP10-6
ZNF280C,KRTAP10-6
ZNHIT1,KRTAP10-6
AVPI1,KRTAP10-6
LCE2D,KRTAP10-6
LCE3E,KRTAP10-6
VASN,KRTAP10-6
ZNF490,KRTAP10-6
WT1,KRTAP10-6
ZBTB24,KRTAP10-6
CLK1,KRTAP10-6
NAA10,KRTAP10-6
FOXD4,KRTAP10-6
ZNF792,KRTAP10-6
HOXB5,KRTAP10-6
KIF9,KRTAP10-6
LCE4A,KRTAP10-6
LCE1E,KRTAP10-6
PIN1,KRTAP10-6
TPPP,ZNF114
MAP7,ZNF114
ZNF114,ZNF114
CLIP4,ZNF114
SUFU,ZNF114
KLHL2,ZNF114
RBKS,RBKS
ZNF692,KAT5
APBB1,KAT5
C1orf131,KAT5
EPC1,KAT5
ODC1,KAT5
PROSER2,KAT5
SCRN2,KAT5
GKAP1,KAT5
UPRT,KAT5
IFT20,KAT5
YJU2,KAT5
GIGYF1,KAT5
ID3,KAT5
ZBTB1,KAT5
STX11,KAT5
ZC2HC1C,KAT5
ZNF526,KAT5
SPATA2,KAT5
KPNA6,KAT5
SYCE1,KAT5
BACH2,KAT5
CCDC136,KAT5
CEP70,KAT5
GMCL1,KAT5
IKZF3,KAT5
TAX1BP1,KAT5
MCC,KAT5
FCHO1,KAT5
BLZF1,KAT5
HSF2BP,KAT5
LZTS2,KAT5
PICK1,KAT5
PRDM6,KAT5
HMBOX1,KAT5
MTUS2,KAT5
PPP1R16A,KAT5
FAM161A,KAT5
UBASH3B,KAT5
TFIP11,KAT5
LZTS1,KAT5
PIH1D3,KAT5
KPNA3,KAT5
ZNF672,KRTAP2-4
MOBP,KRTAP2-4
ZNF786,KRTAP2-4
ZNF491,KRTAP2-4
NKD1,KRTAP2-4
SPATA3,KRTAP2-4
ADAMTSL3,KRTAP2-4
SDC3,KRTAP2-4
P2RY6,KRTAP2-4
KRTAP4-4,KRTAP2-4
HHEX,KRTAP2-4
NPDC1,KRTAP2-4
ZNF524,KRTAP2-4
DHX57,KRTAP2-4
RHBDL1,KRTAP2-4
IGSF8,KRTAP2-4
JOSD1,KRTAP2-4
LCE3D,KRTAP2-4
YY1,KRTAP2-4
C11orf87,KRTAP2-4
PIGS,KRTAP2-4
ZNF264,KRTAP2-4
HOXB9,KRTAP2-4
BCL6B,KRTAP2-4
CTSZ,KRTAP2-4
LCE3A,KRTAP2-4
CHIC2,KRTAP2-4
KRTAP4-11,KRTAP2-4
KRTAP5-11,KRTAP2-4
PHLDA1,KRTAP2-4
SPRED2,KRTAP2-4
LCE2A,KRTAP2-4
HAPLN2,KRTAP2-4
LCE2C,KRTAP2-4
TNP2,KRTAP2-4
ITGB4,KRTAP2-4
ZNF440,KRTAP2-4
SHFL,KRTAP2-4
TTPA,KRTAP2-4
GGN,KRTAP2-4
ZDHHC1,KRTAP2-4
LCE2D,KRTAP2-4
LCE1D,KRTAP2-4
VASN,KRTAP2-4
LCE2B,KRTAP2-4
PRKAB2,KRTAP2-4
ZNF587,KRTAP2-4
ZNF575,KRTAP2-4
ZNF581,KRTAP2-4
ZNF764,KRTAP2-4
ZBTB24,KRTAP2-4
KLHL38,KRTAP2-4
BEX2,KRTAP2-4
CREB5,KRTAP2-4
ZNF792,KRTAP2-4
CXCL16,KRTAP2-4
TRIM42,KRTAP2-4
TFAP2D,KRTAP2-4
GEMIN4,KRTAP2-4
KRTAP9-3,KRTAP2-4
KRTAP9-8,KRTAP2-4
KRTAP1-1,KRTAP2-4
ZNF165,KRTAP2-4
MCRS1,KRTAP2-4
FAM161A,KRTAP2-4
KRTAP12-4,KRTAP2-4
CYSRT1,KRTAP2-4
CATSPER1,KRTAP2-4
BAHD1,KRTAP2-4
OTX1,KRTAP2-4
DMRT3,KRTAP2-4
LNX1,KRTAP2-4
KRTAP4-12,KRTAP2-4
KRTAP5-2,KRTAP2-4
LCE1B,KRTAP2-4
VWC2,KRTAP2-4
LCE1E,KRTAP2-4
NUFIP2,KRTAP2-4
HOXA1,KRTAP2-4
ZNF672,KRTAP2-3
MOBP,KRTAP2-3
ZNF786,KRTAP2-3
ZNF491,KRTAP2-3
NKD1,KRTAP2-3
SPATA3,KRTAP2-3
ADAMTSL3,KRTAP2-3
SDC3,KRTAP2-3
P2RY6,KRTAP2-3
KRTAP4-4,KRTAP2-3
HHEX,KRTAP2-3
NPDC1,KRTAP2-3
ZNF524,KRTAP2-3
DHX57,KRTAP2-3
RHBDL1,KRTAP2-3
IGSF8,KRTAP2-3
JOSD1,KRTAP2-3
LCE3D,KRTAP2-3
YY1,KRTAP2-3
C11orf87,KRTAP2-3
PIGS,KRTAP2-3
ZNF264,KRTAP2-3
HOXB9,KRTAP2-3
BCL6B,KRTAP2-3
CTSZ,KRTAP2-3
LCE3A,KRTAP2-3
CHIC2,KRTAP2-3
KRTAP4-11,KRTAP2-3
KRTAP5-11,KRTAP2-3
PHLDA1,KRTAP2-3
SPRED2,KRTAP2-3
LCE2A,KRTAP2-3
HAPLN2,KRTAP2-3
LCE2C,KRTAP2-3
TNP2,KRTAP2-3
ITGB4,KRTAP2-3
ZNF440,KRTAP2-3
SHFL,KRTAP2-3
TTPA,KRTAP2-3
GGN,KRTAP2-3
ZDHHC1,KRTAP2-3
LCE2D,KRTAP2-3
LCE1D,KRTAP2-3
VASN,KRTAP2-3
LCE2B,KRTAP2-3
PRKAB2,KRTAP2-3
ZNF587,KRTAP2-3
ZNF575,KRTAP2-3
ZNF581,KRTAP2-3
ZNF764,KRTAP2-3
ZBTB24,KRTAP2-3
KLHL38,KRTAP2-3
BEX2,KRTAP2-3
CREB5,KRTAP2-3
ZNF792,KRTAP2-3
CXCL16,KRTAP2-3
TRIM42,KRTAP2-3
TFAP2D,KRTAP2-3
GEMIN4,KRTAP2-3
KRTAP9-3,KRTAP2-3
KRTAP9-8,KRTAP2-3
KRTAP1-1,KRTAP2-3
ZNF165,KRTAP2-3
MCRS1,KRTAP2-3
FAM161A,KRTAP2-3
CYSRT1,KRTAP2-3
CATSPER1,KRTAP2-3
BAHD1,KRTAP2-3
OTX1,KRTAP2-3
DMRT3,KRTAP2-3
LNX1,KRTAP2-3
KRTAP5-2,KRTAP2-3
LCE1B,KRTAP2-3
VWC2,KRTAP2-3
LCE1E,KRTAP2-3
NUFIP2,KRTAP2-3
HOXA1,KRTAP2-3
DNAJC9,H3C10
NASP,H3C10
DNAJC9,H3C7
NASP,H3C7
DNAJC9,H3C1
NASP,H3C1
DNAJC9,H3C11
NASP,H3C11
DNAJC9,H3C6
NASP,H3C6
DNAJC9,H3C8
NASP,H3C8
SOX7,SCAI
OGT,SCAI
ITPKB,SCAI
CDIPT,SCAI
PIN1,SCAI
SLC26A5,UBE2J1
CDS1,UBE2J1
CLTRN,UBE2J1
PROKR2,UBE2J1
LAPTM5,UBE2J1
PLPPR2,UBE2J1
SEC11C,UBE2J1
GKN1,UBE2J1
MFSD3,UBE2J1
GOLT1A,UBE2J1
TM4SF19,UBE2J1
FAM210B,UBE2J1
TRHR,UBE2J1
TLCD4,UBE2J1
JAGN1,UBE2J1
TMEM51,UBE2J1
ELOVL4,UBE2J1
FCER1G,UBE2J1
DERL1,UBE2J1
TMEM31,UBE2J1
REEP4,UBE2J1
SLC10A6,UBE2J1
TM4SF18,UBE2J1
EBP,UBE2J1
CYB561,UBE2J1
LYVE1,UBE2J1
MFSD14B,UBE2J1
TMEM14B,UBE2J1
CD79A,UBE2J1
FAM209A,UBE2J1
DCLK2,CCDC57
MT1E,CCDC57
FAM107A,CCDC57
ZSWIM3,CCDC57
TIMM44,CCDC57
ROBO3,CCDC57
KLF1,CCDC57
ABLIM1,CCDC57
PROSER3,CCDC57
CRTC2,CCDC57
C9orf24,CCDC57
GRPEL1,CCDC57
KRT4,CCDC57
ZNF436,CCDC57
SLC25A48,CCDC57
YJU2,CCDC57
ZNF474,CCDC57
C19orf44,CCDC57
BCAR3,CCDC57
HDX,CCDC57
CBY2,CCDC57
RINT1,CCDC57
PAK5,CCDC57
GIGYF1,CCDC57
EIF4G1,CCDC57
ESS2,CCDC57
RBM48,CCDC57
KLF15,CCDC57
TNNI1,CCDC57
SH3KBP1,CCDC57
C4orf45,CCDC57
TXLNA,CCDC57
ZBTB4,CCDC57
ABI1,CCDC57
MDM1,CCDC57
PRAM1,CCDC57
ZC2HC1C,CCDC57
ZNF835,CCDC57
CFAP53,CCDC57
TMEM100,CCDC57
TRIM14,CCDC57
INTS2,CCDC57
PRPF18,CCDC57
FAM161B,CCDC57
PRPF31,CCDC57
EIF3D,CCDC57
AMOTL2,CCDC57
RASD1,CCDC57
BEX2,CCDC57
CCDC36,CCDC57
FTO,CCDC57
SMG9,CCDC57
FH,CCDC57
TSGA10IP,CCDC57
NAB2,CCDC57
ELOA,CCDC57
CCDC120,CCDC57
SPRY1,CCDC57
PSMB4,CCDC57
TFPT,CCDC57
NME4,CCDC57
GPBP1,CCDC57
IKZF3,CCDC57
RUSC1,CCDC57
DISC1,CCDC57
GFAP,CCDC57
MYOZ3,CCDC57
ABI2,CCDC57
NCOA5,CCDC57
SORBS3,CCDC57
PRDM6,CCDC57
C2CD6,CCDC57
FAM161A,CCDC57
ANKRD23,CCDC57
TP53BP2,CCDC57
CCDC33,CCDC57
COIL,CCDC57
TFIP11,CCDC57
LZTS1,CCDC57
PPP1R32,CCDC57
DTX2,CCDC57
FAM90A1,CCDC57
TRIM29,CCDC57
SYT6,CCDC57
LENG1,CCDC57
MAD1L1,CCDC57
EMX2,OTUD6A
SSBP1,OTUD6A
MYCL,OTUD6A
DPYSL3,OTUD6A
TRIM7,OTUD6A
DYNLL1,OTUD6A
CD300E,CTXN3
PLPP5,CTXN3
CTLA4,CTXN3
FUT7,CTXN3
IFNLR1,CTXN3
SLC10A2,CTXN3
OPRD1,CTXN3
BTN2A1,CTXN3
ADGRG3,CTXN3
CLDN14,CTXN3
CLRN1,CTXN3
LAPTM4B,CTXN3
LDLRAD1,CTXN3
TSPAN12,CTXN3
TMEM106C,CTXN3
GJB5,CTXN3
AQP9,CTXN3
GPR61,CTXN3
TMPRSS2,CTXN3
LSMEM2,CTXN3
CLEC17A,CTXN3
PACC1,CTXN3
FFAR3,CTXN3
TM4SF19,CTXN3
MGST2,CTXN3
TLCD4,CTXN3
SPACA1,CTXN3
NCAPH2,CTXN3
CLEC7A,CTXN3
GPR42,CTXN3
KLRC1,CTXN3
CD53,CTXN3
TMEM31,CTXN3
PVR,CTXN3
CPLX4,CTXN3
CCDC155,CTXN3
COQ9,CTXN3
LHFPL5,CTXN3
TMEM179B,CTXN3
GPR152,CTXN3
ERGIC3,CTXN3
OPRM1,CTXN3
BIK,CTXN3
GJA8,CTXN3
GJB1,CTXN3
STOM,CTXN3
ATP1B3,CTXN3
SCN3B,CTXN3
AQP6,CTXN3
MTIF3,CTXN3
CERS4,CTXN3
MFF,CTXN3
EDA,CTXN3
CD79A,CTXN3
CREB3L1,CTXN3
FAM209A,CTXN3
GON7,LAGE3
POP7,LAGE3
PLEKHJ1,LAGE3
OSGEP,LAGE3
HYKK,LAGE3
PNMA1,LAGE3
PDE9A,LAGE3
MIPOL1,LAGE3
TRIM23,LAGE3
HSF2BP,LAGE3
AKAP8L,LAGE3
MID2,LAGE3
KRTAP10-8,LAGE3
MKRN3,LAGE3
VPS37C,LAGE3
USP47,AP4M1
FNTA,AP4M1
NIPA1,CCDC167
CX3CR1,CCDC167
SLC18A3,CCDC167
TACR1,CCDC167
MS4A3,CCDC167
SYT2,CCDC167
AQP9,CCDC167
CLDN5,CCDC167
GOLT1A,CCDC167
FAM174A,CCDC167
TM4SF19,CCDC167
FAM210B,CCDC167
TMEM86B,CCDC167
SERINC2,CCDC167
TLCD4,CCDC167
TMEM237,CCDC167
FFAR2,CCDC167
TMEM51,CCDC167
GPR42,CCDC167
ELOVL4,CCDC167
TMEM80,CCDC167
SLC7A14,CCDC167
APPBP2,CCDC167
SLC10A6,CCDC167
TMEM179B,CCDC167
GPR152,CCDC167
